,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
86,낙화암,5.0,3.0,20.0,240.0,43.0,41.0,285.0,18.0,66.0,24.0,420
87,남계서원 ,1.0,0.0,9.0,14.0,1.0,0.0,6.0,0.0,1.0,3.0,71
88,남도한옥민박마을,0.0,1.0,11.0,21.0,41.0,3.0,43.0,0.0,3.0,2.0,1
89,남사예담촌,0.0,0.0,4.0,8.0,8.0,0.0,9.0,0.0,4.0,1.0,0
90,남선창고터,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
91,남양성모성지,1.0,0.0,20.0,240.0,5.0,25.0,285.0,5.0,82.0,1.0,388
92,남양주 광릉,1.0,3.0,20.0,24.0,4.0,0.0,24.0,1.0,19.0,7.0,307
93,남원 만인의총,1.0,2.0,0.0,224.0,50.0,53.0,270.0,9.0,120.0,10.0,97
94,남해 관음포 이충무공 유적,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
95,내소사,0.0,1.0,0.0,6.0,12.0,0.0,9.0,0.0,2.0,3.0,4
96,노동당사,0.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,708
97,노무현 대통령 생가,3.0,3.0,20.0,42.0,0.0,0.0,24.0,3.0,3.0,1.0,606
98,노적봉,18.0,5.0,20.0,238.0,201.0,123.0,285.0,17.0,196.0,3.0,170
99,농암종택,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,0.0,196
100,능인선원,18.0,0.0,20.0,240.0,123.0,206.0,285.0,30.0,237.0,65.0,0
101,다산유적지(남양주),0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798
102,다산초당,1.0,0.0,6.0,3.0,6.0,0.0,3.0,0.0,2.0,2.0,550
103,다솔사응진전,0.0,0.0,13.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0
104,단양 금굴 구석기유적지,1.0,0.0,20.0,179.0,23.0,17.0,160.0,0.0,46.0,4.0,0
105,단양 향산리 삼층석탑,2.0,0.0,11.0,10.0,37.0,0.0,6.0,0.0,0.0,0.0,0
106,달성하목정,0.0,0.0,2.0,53.0,2.0,0.0,33.0,0.0,2.0,2.0,128
107,담양 금성산성,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,204
108,담양 명옥헌 원림,0.0,0.0,0.0,28.0,1.0,0.0,19.0,0.0,6.0,0.0,677
109,담양 소쇄원,0.0,2.0,20.0,14.0,6.0,0.0,31.0,2.0,14.0,3.0,1720
110,당포성,1.0,0.0,0.0,9.0,7.0,0.0,6.0,2.0,1.0,2.0,115
111,당항포관광지,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
112,대관령 황태덕장마을,4.0,0.0,11.0,60.0,50.0,16.0,110.0,0.0,23.0,8.0,35
113,대구동화사,0.0,0.0,6.0,16.0,11.0,0.0,24.0,0.0,11.0,2.0,805
114,대구향교,8.0,10.0,0.0,222.0,134.0,206.0,270.0,222.0,222.0,93.0,143
